rank;best_yield;iteration;repetition;best_unc;max_unc;av_unc;std_unc;av_unc_train;av_unc_test;tota_av_unc
24;0.4723796242212418;0;9;0.6274947293942934;0.6966077251688827;0.6455342293046763;0.023579673424457187;0.18351697407389878;0.6464383726612923;0.6455342293046763
36;0.10593468104669942;0;3;0.5020052131953854;0.5605810132617532;0.5163130444975416;0.018900736896548465;0.13532859898950134;0.5170586109271073;0.5163130444975416
40;0.3768617956313108;0;19;0.6401411655802836;0.6789091128609952;0.6380753845178865;0.017250749347820834;0.18974545594927741;0.6389527424994297;0.6380753845178865
17;0.38859079972208566;0;14;0.6796394846402338;0.6908961434474041;0.6496476557381662;0.017639307258450736;0.18952519700747938;0.650548091078148;0.6496476557381662
3;0.4404006389667564;0;17;0.6973481911475502;0.7688754578010839;0.7280962181112794;0.01904366737735832;0.12996973028448375;0.7292667200444043;0.7280962181112794
1;0.08762494575400415;0;11;0.5391134140826748;0.6315822886307547;0.5810568587335623;0.026457297208493675;0.12976057865196017;0.5819400217082817;0.5810568587335623
3;0.22825797786938604;0;15;0.6064694926987435;0.6669529491848191;0.6181170609286698;0.019933538589782654;0.16751735537931242;0.618998860743835;0.6181170609286698
30;0.1691574983593752;0;1;0.5339304096729455;0.6434855829184041;0.5604700287016223;0.03396324027159634;0.1447009393420854;0.5612836668412691;0.5604700287016223
35;0.43603373825131775;0;18;0.5726177817652207;0.6439923499884946;0.5802471805122658;0.02977525173231689;0.11563293761540215;0.5811564060365257;0.5802471805122656
40;0.4197227178526816;0;10;0.5596547179052135;0.6579797599196199;0.6003005494657897;0.02412041518086081;0.14876352324615505;0.601184183567981;0.6003005494657898
37;0.34908509541660004;0;4;0.6126362112931104;0.6626254713561344;0.6328377777571156;0.01586601927414033;0.19809172203606074;0.6336885528172351;0.6328377777571156
36;0.39138151994465176;0;8;0.6100436223707156;0.6594843832100167;0.6007425639174214;0.02432878079869003;0.1247554293577442;0.6016740455897495;0.6007425639174214
31;0.257533928682513;0;5;0.6253517907752004;0.6753960178974292;0.6180632224023697;0.024857596940240107;0.1730162308072437;0.6189341558497183;0.6180632224023697
38;0.1236179827985146;0;16;0.594197788445916;0.7044976762995212;0.6320983820593219;0.030415263614811856;0.11485166694892386;0.6331106065507316;0.6320983820593218
