inchikey;block;smiles;smiles+ chemdraw;flag;lowest_price;pubchem_cid;urls
PQMOVGKBSXSOQY-NSKAINJBNA-N;Cc1cccc(C(=O)O)c1[Xe];Cc1cccc(C(=O)O)c1I.Cc1cccc(C(=O)O)c1Br;Cc1cccc(C(=O)O)c1I.Cc1cccc(C(=O)O)c1Br;Y;8.0;2759365!!2735588;http://www.combi-blocks.com/cgi-bin/find.cgi?HC-2844$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=80669&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/560499?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral!!http://www.combi-blocks.com/cgi-bin/find.cgi?OS-1077$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=80208&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/560219?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
YHNVJXCRAFVXPK-UHFFFAOYNA-N;CC(=O)c1ccc(F)c([Xe])c1;CC(=O)c1ccc(F)c(Br)c1;CC(=O)c1ccc(F)c(Br)c1;Y;8.0;70508;http://www.combi-blocks.com/cgi-bin/find.cgi?OS-7842$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=6072&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/339679?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
DZTSTZMFQWUILH-UHFFFAOYNA-N;N#Cc1cc([Xe])ccc1N;N#Cc1cc(I)ccc1N.N#Cc1cc(Br)ccc1N;N#Cc1cc(I)ccc1N.N#Cc1cc(Br)ccc1N;Y;9.0;9964803!!429740;http://www.combi-blocks.com/cgi-bin/find.cgi?HC-3438$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=29010&ExtHyperLink=1!!http://www.combi-blocks.com/cgi-bin/find.cgi?OS-2054$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=18037&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/642827?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
FCKFMPXQRQOFOQ-UHFFFAOYNA-N;CC(O)c1ccc([Xe])cc1;CC(O)c1ccc(Br)cc1.CC(O)c1ccc(Br)cc1.CC(O)c1ccc(Br)cc1;CC(O)c1ccc(Br)cc1.CC(O)c1ccc(Br)cc1.CC(O)c1ccc(Br)cc1;Y;9.0;6950173!!2734890!!95352;http://www.combi-blocks.com/cgi-bin/find.cgi?QB-5959$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=76812&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/686336?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral!!http://www.combi-blocks.com/cgi-bin/find.cgi?QC-7299$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=76813&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/686301?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral!!http://www.combi-blocks.com/cgi-bin/find.cgi?LD-1337$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=92&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/145769?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
ZLSWNOMXLBGLDY-UHFFFAOYNA-N;O=Cc1cc([Xe])ccc1F;O=Cc1cc(I)ccc1F.O=Cc1cc(Br)ccc1F;O=Cc1cc(I)ccc1F.O=Cc1cc(Br)ccc1F;Y;9.0;16217058!!736327;http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=27560&ExtHyperLink=1$$http://www.combi-blocks.com/cgi-bin/find.cgi?QA-5248$$https://www.sigmaaldrich.com/catalog/product/aldrich/543314?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral!!http://www.combi-blocks.com/cgi-bin/find.cgi?OS-7553$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=5314&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/528870?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
LREVSSWYGPOPIL-UHFFFAOYNA-N;O=Cc1cc([Xe])ccc1O;O=Cc1cc(I)ccc1O.O=Cc1cc(Br)ccc1O;O=Cc1cc(I)ccc1O.O=Cc1cc(Br)ccc1O;Y;9.0;252612!!72863;http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=25589&ExtHyperLink=1$$http://www.combi-blocks.com/cgi-bin/find.cgi?OT-2217$$https://www.sigmaaldrich.com/catalog/product/aldrich/524328?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral!!http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=64301&ExtHyperLink=1$$http://www.combi-blocks.com/cgi-bin/find.cgi?OS-7744$$https://www.sigmaaldrich.com/catalog/product/aldrich/137286?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
XAHRGLSLFODMRW-UHFFFAOYNA-N;Nc1ccc(C(F)(F)F)cc1[Xe];Nc1ccc(C(F)(F)F)cc1I.Nc1ccc(C(F)(F)F)cc1Br;Nc1ccc(C(F)(F)F)cc1I.Nc1ccc(C(F)(F)F)cc1Br;Y;9.0;2783322!!93899;http://www.combi-blocks.com/cgi-bin/find.cgi?HC-3375$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=17726&ExtHyperLink=1$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=17728&ExtHyperLink=1!!http://www.combi-blocks.com/cgi-bin/find.cgi?AN-1160$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=1803&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/518700?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
DFZQCRHTIDLXCK-UHFFFAOYNA-N;Nc1ccc([Xe])cc1OC(F)(F)F;Nc1ccc(I)cc1OC(F)(F)F.Nc1ccc(Br)cc1OC(F)(F)F;Nc1ccc(I)cc1OC(F)(F)F.Nc1ccc(Br)cc1OC(F)(F)F;Y;9.0;2761398!!737382;http://www.combi-blocks.com/cgi-bin/find.cgi?HC-3439$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=18052&ExtHyperLink=1!!http://www.combi-blocks.com/cgi-bin/find.cgi?OS-7489$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=1960&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/631256?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
GTJRGBRTJULIFD-UHFFFAOYNA-N;Oc1ccc(F)cc1[Xe];Oc1ccc(F)cc1I.Oc1ccc(F)cc1Br;Oc1ccc(F)cc1I.Oc1ccc(F)cc1Br;Y;9.0;10171417!!605472;http://www.combi-blocks.com/cgi-bin/find.cgi?QB-1933$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=95879&ExtHyperLink=1!!http://www.combi-blocks.com/cgi-bin/find.cgi?OS-7843$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=1933&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/302465?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
WHLBXVJJBDNQSN-NSKAINJBNA-N;O=C(O)c1ccc(F)cc1[Xe];O=C(O)c1ccc(F)cc1I.O=C(O)c1ccc(F)cc1Br;O=C(O)c1ccc(F)cc1I.O=C(O)c1ccc(F)cc1Br;Y;9.0;12520164!!1268169;https://www.sigmaaldrich.com/catalog/product/aldrich/678910?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral$$http://www.combi-blocks.com/cgi-bin/find.cgi?QA-5842$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=77546&ExtHyperLink=1!!http://www.combi-blocks.com/cgi-bin/find.cgi?CA-4002$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=2564&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/367931?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
IDKOMQDSPDFDFC-UHFFFAOYNA-N;Fc1cccc([Xe])c1;Fc1cccc(I)c1.Fc1cccc(Br)c1.Fc1cccc(Br)c1;Fc1cccc(I)c1.Fc1cccc(Br)c1.Fc1cccc(Br)c1;Y;9.0;70725!!71309107!!14082;http://www.combi-blocks.com/cgi-bin/find.cgi?HC-2607$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=135&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/219398?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral!!https://www.sigmaaldrich.com/catalog/product/aldrich/606391?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral!!http://www.combi-blocks.com/cgi-bin/find.cgi?OS-7798$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=171&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/b67007?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
SPOAEBUZBPJHPS-UHFFFAOYNA-N;Cc1cc([N+](=O)[O-])ccc1[Xe];Cc1cc([N+](=O)[O-])ccc1I.Cc1cc([N+](=O)[O-])ccc1Br;Cc1cc([N+](=O)[O-])ccc1I.Cc1cc([N+](=O)[O-])ccc1Br;Y;9.0;79225!!251672;http://www.combi-blocks.com/cgi-bin/find.cgi?HC-3050$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=12655&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/591033?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral!!http://www.combi-blocks.com/cgi-bin/find.cgi?OT-1685$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=94&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/247103?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
JSOGTIPUVBLGFS-NSKAINJBNA-N;Cc1ccc([Xe])c(C(=O)O)c1;Cc1ccc(I)c(C(=O)O)c1.Cc1ccc(Br)c(C(=O)O)c1;Cc1ccc(I)c(C(=O)O)c1.Cc1ccc(Br)c(C(=O)O)c1;Y;9.0;142941!!228080;http://www.combi-blocks.com/cgi-bin/find.cgi?OR-3626$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=80670&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/cds002953?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral!!http://www.combi-blocks.com/cgi-bin/find.cgi?OS-7703$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=80209&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/716413?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
